constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
0.75,1.0,0.7506442614,93,0.001,2.5,4.0,0.7981833575,0.0376954805,0.7,0,2.509,ok,30.0,30.0
0.75,1.0,0.7509890341,94,0.0025,2.5,4.0,0.7985746651,0.0379281547,0.7,0,2.215,ok,30.0,30.0
0.75,1.0,0.7497646696,95,0.001,2.5,4.0,0.7973434237,0.0378937704,0.8,0,2.598,ok,30.0,30.0
0.75,1.0,0.7502731654,96,0.0025,2.5,4.0,0.7979579413,0.0384238795,0.8,0,2.214,ok,30.0,30.0
0.25,1.0,-0.2845506085,97,0.001,5.0,7.0,-0.0388149539,0.878678273,0.7,0,2.475,ok,15.0,15.0
0.25,1.0,-0.2847348854,98,0.0025,5.0,7.0,-0.0389742889,0.8788029821,0.7,0,2.186,ok,15.0,15.0
0.25,1.0,-0.3141680175,99,0.001,5.0,7.0,-0.0683311619,0.8791842783,0.8,0,2.524,ok,15.0,15.0
0.25,1.0,-0.3145041661,100,0.0025,5.0,7.0,-0.0686247708,0.8793969768,0.8,0,2.268,ok,15.0,15.0
0.25,1.0,0.7032547814,101,0.001,5.0,5.0,0.8134698801,0.3010754937,0.7,0,2.214,ok,30.0,15.0
0.25,1.0,0.7031899752,102,0.0025,5.0,5.0,0.8134582684,0.301341466,0.7,0,2.494,ok,30.0,15.0
0.25,1.0,0.6960525875,103,0.001,5.0,5.0,0.8063090735,0.30128243,0.8,0,2.182,ok,30.0,15.0
0.25,1.0,0.6957901141,104,0.0025,5.0,5.0,0.8061618755,0.3018588068,0.8,0,2.465,ok,30.0,15.0
0.25,1.0,0.00856992,105,0.001,5.0,4.0,0.199908423,0.756692515,0.7,0,2.223,ok,15.0,20.0
0.25,1.0,0.0082389986,106,0.0025,5.0,4.0,0.1996299113,0.7569545638,0.7,0,2.498,ok,15.0,20.0
0.25,1.0,-0.0180132256,107,0.001,5.0,4.0,0.1733664766,0.7568985109,0.8,0,2.216,ok,15.0,20.0
0.25,1.0,-0.0188162439,108,0.0025,5.0,4.0,0.1726776668,0.7574695536,0.8,0,2.53,ok,15.0,20.0
0.25,1.0,0.782801488,109,0.001,5.0,1.0,0.8405830857,0.2389079885,0.7,0,2.268,ok,30.0,20.0
0.25,1.0,0.7827904495,110,0.0025,5.0,1.0,0.8406221716,0.2391586106,0.7,0,2.242,ok,30.0,20.0
0.25,1.0,0.7777231388,111,0.001,5.0,1.0,0.8355453648,0.2391111302,0.8,0,2.502,ok,30.0,20.0
0.25,1.0,0.7775432546,112,0.0025,5.0,1.0,0.8354765476,0.2396664648,0.8,0,2.252,ok,30.0,20.0
0.25,1.0,0.2217499195,113,0.001,5.0,2.0,0.3722662126,0.652581465,0.7,0,2.434,ok,15.0,25.0
0.25,1.0,0.221491388,114,0.0025,5.0,2.0,0.3720585559,0.6528358396,0.7,0,2.195,ok,15.0,25.0
0.25,1.0,0.1927770576,115,0.001,5.0,2.0,0.3433341703,0.6527855634,0.8,0,2.555,ok,15.0,25.0
0.25,1.0,0.1920876268,116,0.0025,5.0,2.0,0.3427568439,0.6533460854,0.8,0,2.185,ok,15.0,25.0
0.25,1.0,0.7777180368,117,0.001,5.0,1.0,0.8245951561,0.1843855964,0.7,0,2.581,ok,30.0,25.0
0.25,1.0,0.7777609491,118,0.0025,5.0,1.0,0.8246867249,0.184628879,0.7,0,2.297,ok,30.0,25.0
0.25,1.0,0.774307979,119,0.001,5.0,1.0,0.8212253411,0.1845868104,0.8,0,2.345,ok,30.0,25.0
0.25,1.0,0.7742114725,120,0.0025,5.0,1.0,0.8212378553,0.1851319139,0.8,0,2.591,ok,30.0,25.0
0.25,1.0,0.3501072795,121,0.001,5.0,1.0,0.4703760747,0.5513439762,0.7,0,2.332,ok,15.0,30.0
0.25,1.0,0.3499242577,122,0.0025,5.0,1.0,0.4702417094,0.5515872587,0.7,0,2.49,ok,15.0,30.0
0.25,1.0,0.3243511381,123,0.001,5.0,1.0,0.4446601761,0.5515451902,0.8,0,2.261,ok,15.0,30.0
0.25,1.0,0.3237855374,124,0.0025,5.0,1.0,0.4442035962,0.5520902937,0.8,0,2.482,ok,15.0,30.0
0.25,1.0,0.703220626,125,0.001,5.0,4.0,0.7703912999,0.1358533694,0.7,0,2.236,ok,30.0,30.0
0.25,1.0,0.703317196,126,0.0025,5.0,4.0,0.7705344047,0.1360860436,0.7,0,2.484,ok,30.0,30.0
0.25,1.0,0.701370789,127,0.001,5.0,4.0,0.7685811209,0.1360516593,0.8,0,2.187,ok,30.0,30.0
0.25,1.0,0.7013578766,128,0.0025,5.0,4.0,0.7686742303,0.1365817684,0.8,0,2.509,ok,30.0,30.0
0.5,1.0,-0.1388752763,129,0.001,5.0,7.0,0.0933479054,0.8111159082,0.7,0,2.223,ok,15.0,15.0
0.5,1.0,-0.1389745079,130,0.0025,5.0,7.0,0.0932697005,0.8112210421,0.7,0,2.275,ok,15.0,15.0
0.5,1.0,-0.1634738637,131,0.001,5.0,7.0,0.0689464456,0.8121015463,0.8,0,2.518,ok,15.0,15.0
0.5,1.0,-0.1636532027,132,0.0025,5.0,7.0,0.0687997668,0.8122648477,0.8,0,2.2,ok,15.0,15.0
0.5,1.0,0.7454567673,133,0.001,5.0,5.0,0.8449325424,0.2473788755,0.7,0,2.365,ok,30.0,15.0
0.5,1.0,0.7455323589,134,0.0025,5.0,5.0,0.8450613285,0.2476448478,0.7,0,2.192,ok,30.0,15.0
0.5,1.0,0.7397555651,135,0.001,5.0,5.0,0.8392727275,0.2475858118,0.8,0,2.433,ok,30.0,15.0
0.5,1.0,0.7397775843,136,0.0025,5.0,5.0,0.839410022,0.2481621886,0.8,0,2.216,ok,30.0,15.0
0.5,1.0,0.1377853546,137,0.001,5.0,4.0,0.3158098142,0.6901222979,0.7,0,2.54,ok,15.0,20.0
0.5,1.0,0.1376042866,138,0.0025,5.0,4.0,0.3156811559,0.6903843467,0.7,0,2.243,ok,15.0,20.0
0.5,1.0,0.1162900711,139,0.001,5.0,4.0,0.2943557299,0.6903282938,0.8,0,2.522,ok,15.0,20.0
0.5,1.0,0.1157825808,140,0.0025,5.0,4.0,0.2939624481,0.6908993364,0.8,0,2.203,ok,15.0,20.0
0.5,1.0,0.8094747544,141,0.001,5.0,2.0,0.8667489474,0.186370965,0.7,0,2.202,ok,30.0,20.0
0.5,1.0,0.8096014026,142,0.0025,5.0,2.0,0.8669264705,0.1866253396,0.7,0,2.539,ok,30.0,20.0
0.5,1.0,0.8055234166,143,0.001,5.0,2.0,0.8628384292,0.1865750633,0.8,0,2.255,ok,30.0,20.0
0.5,1.0,0.8056250174,144,0.0025,5.0,2.0,0.8630521345,0.1871355854,0.8,0,2.584,ok,30.0,20.0
0.5,1.0,0.3364669198,145,0.001,5.0,2.0,0.4741641747,0.5884862746,0.7,0,2.194,ok,15.0,25.0
0.5,1.0,0.3363560539,146,0.0025,5.0,2.0,0.4741041837,0.5887406491,0.7,0,2.443,ok,15.0,25.0
0.5,1.0,0.3122986682,147,0.001,5.0,2.0,0.4500367427,0.5886903729,0.8,0,2.228,ok,15.0,25.0
0.5,1.0,0.3119029944,148,0.0025,5.0,2.0,0.4497531734,0.589250895,0.8,0,2.574,ok,15.0,25.0
0.5,1.0,0.8100912082,149,0.001,5.0,1.0,0.846754734,0.1333176293,0.7,0,2.173,ok,30.0,25.0
0.5,1.0,0.8102702419,150,0.0025,5.0,1.0,0.8469824242,0.1335609118,0.7,0,2.184,ok,30.0,25.0
0.5,1.0,0.8074978297,151,0.001,5.0,1.0,0.8442015984,0.1335188432,0.8,0,2.533,ok,30.0,25.0
0.5,1.0,0.8076814143,152,0.0025,5.0,1.0,0.8444942036,0.1340639467,0.8,0,2.22,ok,30.0,25.0
0.5,1.0,0.4514966485,153,0.001,5.0,1.0,0.5594130852,0.4895821833,0.7,0,2.46,ok,15.0,30.0
0.5,1.0,0.4514583144,154,0.0025,5.0,1.0,0.5594234076,0.4898254658,0.7,0,2.223,ok,15.0,30.0
0.5,1.0,0.4300915616,155,0.001,5.0,1.0,0.538048241,0.4897833972,0.8,0,2.459,ok,15.0,30.0
0.5,1.0,0.4298165179,156,0.0025,5.0,1.0,0.537882218,0.4903285007,0.8,0,2.261,ok,15.0,30.0
0.5,1.0,0.7326225025,157,0.001,5.0,4.0,0.7898628887,0.0862019309,0.7,0,2.443,ok,30.0,30.0
