constant_loss,count,index,initial_flow_area_ratio,initial_loss,mae,nse,observed_peak,observed_peak_index,recession_factor,returncode,rmse,seconds,simulated_peak,simulated_peak_index,status,storage_min,tc_min
1.5,239.0,81,0.005,5.0,1633.5906786082,0.1716042574,15447.875,93.0,0.8,0,3384.1924697135,2.377,4237.0055217562,125.0,ok,60.0,60.0
1.5,239.0,82,0.005,5.0,1708.1384955848,-0.1090643601,15447.875,93.0,0.8,0,3915.7458864232,2.139,2007.6837988597,135.0,ok,180.0,60.0
1.5,239.0,83,0.005,5.0,1901.6228558147,-0.2420818468,15447.875,93.0,0.8,0,4143.9187628549,2.208,1124.8137118425,138.0,ok,360.0,60.0
1.5,239.0,84,0.005,5.0,2188.8956846598,-0.337649016,15447.875,93.0,0.8,0,4300.3837573843,2.574,629.5879295571,227.0,ok,720.0,60.0
1.5,239.0,85,0.005,5.0,2179.7800469693,-0.260284198,15447.875,93.0,0.8,0,4174.1722938835,2.191,2789.9739789031,209.0,ok,60.0,180.0
1.5,239.0,86,0.005,5.0,1996.0505280257,-0.3311527674,15447.875,93.0,0.8,0,4289.9287118807,2.181,1692.089316751,235.0,ok,180.0,180.0
1.5,239.0,87,0.005,5.0,2162.2869987227,-0.3783670096,15447.875,93.0,0.8,0,4365.3448822081,2.14,1038.935814125,238.0,ok,360.0,180.0
1.5,239.0,88,0.005,5.0,2338.0463584836,-0.4155968797,15447.875,93.0,0.8,0,4423.906341933,2.115,581.3083740424,238.0,ok,720.0,180.0
1.5,239.0,89,0.005,5.0,2050.2115658638,-0.3439032245,15447.875,93.0,0.8,0,4310.4253049843,2.39,1524.872223273,238.0,ok,60.0,360.0
1.5,239.0,90,0.005,5.0,2273.2886493096,-0.4022637032,15447.875,93.0,0.8,0,4403.0231817568,2.155,867.3112405593,238.0,ok,180.0,360.0
1.5,239.0,91,0.005,5.0,2390.1458588366,-0.4290634201,15447.875,93.0,0.8,0,4444.8987943144,2.139,514.2732891804,238.0,ok,360.0,360.0
1.5,239.0,92,0.005,5.0,2460.9803398516,-0.4464369993,15447.875,93.0,0.8,0,4471.8361953539,2.164,284.0153961401,238.0,ok,720.0,360.0
1.5,239.0,93,0.005,5.0,2352.131020871,-0.4148527161,15447.875,93.0,0.8,0,4422.7433897464,2.354,545.2126791886,238.0,ok,60.0,720.0
1.5,239.0,94,0.005,5.0,2446.9755466889,-0.4420630199,15447.875,93.0,0.8,0,4465.0697308818,2.134,311.7611063001,238.0,ok,180.0,720.0
1.5,239.0,95,0.005,5.0,2488.3010140342,-0.4531765152,15447.875,93.0,0.8,0,4482.2421053678,2.389,186.672172557,238.0,ok,360.0,720.0
1.5,239.0,96,0.005,5.0,2513.3515931043,-0.4598880472,15447.875,93.0,0.8,0,4492.5808550968,2.14,105.1174319796,238.0,ok,720.0,720.0
0.1,239.0,97,0.005,15.0,2030.6626224767,0.1726376588,15447.875,93.0,0.8,0,3382.0809665853,2.141,5813.186769467,127.0,ok,60.0,60.0
0.1,239.0,98,0.005,15.0,1885.1965054011,-0.0610760134,15447.875,93.0,0.8,0,3830.0934831488,2.381,2730.1216135114,135.0,ok,180.0,60.0
0.1,239.0,99,0.005,15.0,1783.9253019283,-0.1932694513,15447.875,93.0,0.8,0,4061.6770298125,2.169,1523.6418983454,139.0,ok,360.0,60.0
0.1,239.0,100,0.005,15.0,2064.1291038161,-0.3029091172,15447.875,93.0,0.8,0,4244.1740652384,2.374,875.5483340916,228.0,ok,720.0,60.0
0.1,239.0,101,0.005,15.0,2494.5949468328,-0.3071812665,15447.875,93.0,0.8,0,4251.1265480234,2.114,3844.4201125478,213.0,ok,60.0,180.0
0.1,239.0,102,0.005,15.0,2076.6489573238,-0.3199251305,15447.875,93.0,0.8,0,4271.7986530496,2.094,2333.3016919608,238.0,ok,180.0,180.0
0.1,239.0,103,0.005,15.0,2068.8628782756,-0.360991206,15447.875,93.0,0.8,0,4337.7426757973,2.418,1424.9446303449,238.0,ok,360.0,180.0
0.1,239.0,104,0.005,15.0,2269.8304472718,-0.4024788644,15447.875,93.0,0.8,0,4403.3609653218,2.123,794.005392312,238.0,ok,720.0,180.0
0.1,239.0,105,0.005,15.0,2016.1655926479,-0.3249437785,15447.875,93.0,0.8,0,4279.9121108774,2.361,2076.6252639743,238.0,ok,60.0,360.0
0.1,239.0,106,0.005,15.0,2188.8267676011,-0.3873494219,15447.875,93.0,0.8,0,4379.5456183785,2.119,1171.8491122496,238.0,ok,180.0,360.0
0.1,239.0,107,0.005,15.0,2340.5924761315,-0.4189521869,15447.875,93.0,0.8,0,4429.1461032859,2.37,692.0747082267,238.0,ok,360.0,360.0
0.1,239.0,108,0.005,15.0,2434.642857461,-0.4404616514,15447.875,93.0,0.8,0,4462.5898781248,2.15,380.5656016998,238.0,ok,720.0,360.0
0.1,239.0,109,0.005,15.0,2288.639045491,-0.4008438974,15447.875,93.0,0.8,0,4400.7935650843,2.424,739.9382344191,238.0,ok,60.0,720.0
0.1,239.0,110,0.005,15.0,2415.7713897401,-0.4348578747,15447.875,93.0,0.8,0,4453.90109214,2.128,419.2964453461,238.0,ok,180.0,720.0
0.1,239.0,111,0.005,15.0,2470.7854446548,-0.4489736216,15447.875,93.0,0.8,0,4475.7556160407,2.144,249.465787477,238.0,ok,360.0,720.0
