constant_loss,count,index,initial_flow_area_ratio,initial_loss,mae,nse,observed_peak,observed_peak_index,recession_factor,returncode,rmse,seconds,simulated_peak,simulated_peak_index,status,storage_min,tc_min
0.25,239.0,108,0.0025,0.0,1627.0985393353,0.6300767398,15447.875,93.0,0.9,0,2261.4758046619,2.382,9637.9366200561,111.0,ok,0.5,75.0
0.5,239.0,109,0.005,2.5,1343.4598963811,0.7375438542,15447.875,93.0,0.8,0,1904.8663024475,2.131,10635.7121072602,102.0,ok,0.25,60.0
0.25,239.0,110,0.01,0.0,1561.4632132124,0.6386275357,15447.875,93.0,0.7,0,2235.1859263558,2.679,9642.667233961,111.0,ok,0.5,75.0
1.0,239.0,111,0.01,10.0,1291.967007358,0.7151354046,15447.875,93.0,0.8,0,1984.5194681023,2.145,10928.3656742443,94.0,ok,1.0,45.0
0.1,239.0,112,0.005,10.0,1618.7084474627,0.628208986,15447.875,93.0,0.95,0,2267.1777463973,2.491,10006.8336007505,111.0,ok,0.5,75.0
0.5,239.0,113,0.005,2.5,1592.4876709227,0.5408814631,15447.875,93.0,0.95,0,2519.4082057357,2.151,7904.4139607797,118.0,ok,0.5,90.0
0.1,239.0,114,0.005,0.0,1659.9403988504,0.6159554994,15447.875,93.0,0.8,0,2304.2356998185,2.429,9978.6143687496,111.0,ok,0.5,75.0
0.25,239.0,115,0.0025,10.0,1946.7827553404,0.2608549876,15447.875,93.0,0.7,0,3196.69315435,2.116,14782.5203819125,94.0,ok,0.25,30.0
0.5,239.0,116,0.01,5.0,1254.2822864983,0.7543856144,15447.875,93.0,0.7,0,1842.7355975978,2.263,11775.441796641,96.0,ok,5.0,45.0
1.0,239.0,117,0.0025,0.0,1176.0064230187,0.7531075073,15447.875,93.0,0.7,0,1847.5239114377,2.407,9448.5269090915,103.0,ok,2.0,60.0
0.1,239.0,118,0.02,2.5,1988.2649860302,0.2713735699,15447.875,93.0,0.7,0,3173.8659930512,2.166,15065.0564877569,95.0,ok,2.0,30.0
