CD_MUN;NM_MUN;V05000;V05001;V05002;V05003;V05004;V05005;V05006;V05007;V05008;V05009;V05010;V05011;V05012;V05013;V05014;V05015;V05016;V05017;V05018;V05019;V05020;V05021;V05022;V05023;V05024;V05025;V05026;V05027;V05028;V05029;V05030;V05031;V05032;V05033;V05034;V05400;V05401;V05402;V05403;V05404;V05405;V05406;V05407;V05408;V05409;V05410;V05411;V05412;V05413;V05414;V05415;V05416;V05417;V05418;V05419;V05420;V05421;V05422;V05423;V05424;V05425;V05426;V05427;V05428;V05429;V05430;V05431;V05432;V05433;V05434;V05200;V05201;V05202;V05203;V05204;V05205;V05206;V05207;V05208;V05209;V05210;V05211;V05212;V05213;V05214;V05215;V05216;V05217;V05218;V05219;V05220;V05221;V05222;V05223;V05224;V05225;V05226;V05227;V05228;V05229;V05230;V05231;V05232;V05233;V05234
4312385;Monte Belo do Sul;317;317;0;0;0;0;296;21;0;289;28;0;299;18;0;41;276;0;4;313;0;279;38;0;244;35;38;22;257;38;131;55;41;90;0;193;189;4;0;0;0;173;20;0;165;28;0;171;22;0;7;186;0;4;189;0;162;31;0;136;26;31;21;141;31;100;39;22;32;0;802;802;0;0;0;0;745;57;0;729;73;0;755;47;0;97;705;0;10;792;0;700;102;0;614;86;102;56;644;102;321;146;110;225;0
4312401;Montenegro;20141;18261;1725;83;0;72;17796;2273;72;16707;3362;72;19726;343;72;2312;17757;72;142;19927;72;17125;2944;72;12171;4954;3016;2124;15001;3016;6625;4853;3656;4935;72;3595;3257;220;42;0;76;3061;458;76;2784;735;76;3295;224;76;338;3181;76;36;3483;76;2692;827;76;1733;959;903;298;2394;903;1614;809;467;629;76;51326;46099;4809;222;0;196;44734;6396;196;41984;9146;196;50228;902;196;5832;45298;196;369;50761;196;42997;8133;196;31105;11892;8329;4710;38287;8329;17241;12335;9172;12382;196
4312609;Muçum;1521;1405;110;6;0;0;1498;23;0;1448;73;0;1506;15;0;220;1301;0;0;1521;0;1304;217;0;586;718;217;180;1124;217;274;301;401;545;0;400;385;14;1;0;0;384;16;0;366;34;0;394;6;0;35;365;0;0;400;0;312;88;0;132;180;88;41;271;88;132;80;78;110;0;3907;3572;318;17;0;0;3837;70;0;3725;182;0;3859;48;0;550;3357;0;0;3907;0;3357;550;0;1598;1759;550;419;2938;550;700;791;1041;1375;0
4312617;Muitos Capões;342;342;0;0;0;0;226;116;0;186;156;0;339;3;0;39;303;0;0;342;0;201;141;0;23;178;141;23;178;141;179;14;37;112;0;110;110;0;0;0;0;59;51;0;49;61;0;107;3;0;7;103;0;0;110;0;49;61;0;5;44;61;6;43;61;63;6;9;32;0;846;846;0;0;0;0;559;287;0;448;398;0;842;4;0;96;750;0;0;846;0;490;356;0;62;428;356;57;433;356;444;32;102;268;0
4312625;Muliterno;259;259;0;0;0;0;234;25;0;252;7;0;256;3;0;0;259;0;0;259;0;180;79;0;104;76;79;10;170;79;154;23;40;42;0;121;121;0;0;0;0;100;21;0;114;7;0;112;9;0;1;120;0;0;121;0;66;55;0;39;27;55;8;58;55;77;10;12;22;0;663;663;0;0;0;0;609;54;0;651;12;0;657;6;0;0;663;0;0;663;0;477;186;0;261;216;186;34;443;186;404;59;94;106;0
4312757;Nova Alvorada;612;612;0;0;0;0;590;22;0;587;25;0;607;5;0;5;607;0;0;612;0;588;24;0;302;286;24;224;364;24;203;123;141;145;0;274;269;3;2;0;0;232;42;0;232;42;0;257;17;0;2;272;0;0;274;0;219;55;0;122;97;55;70;149;55;149;44;35;46;0;1606;1606;0;0;0;0;1544;62;0;1534;72;0;1592;14;0;12;1594;0;0;1606;0;1537;69;0;778;759;69;594;943;69;526;335;369;376;0
4312807;Nova Araçá;1483;1465;12;0;0;6;1436;41;6;1400;77;6;1475;2;6;398;1079;6;0;1477;6;1007;470;6;738;269;476;19;988;476;659;250;99;469;6;607;602;3;0;0;2;553;52;2;543;62;2;567;38;2;72;533;2;0;605;2;251;354;2;185;66;356;8;243;356;340;70;36;159;2;4029;3989;21;0;0;19;3877;133;19;3771;239;19;4006;4;19;1068;2942;19;0;4010;19;2616;1394;19;1933;683;1413;64;2552;1413;1880;708;257;1165;19
4312906;Nova Bassano;2384;2373;2;0;0;9;2278;97;9;2096;279;9;2282;93;9;156;2219;9;0;2375;9;1760;615;9;1121;639;624;92;1668;624;989;287;316;783;9;837;825;3;2;0;7;727;103;7;646;184;7;721;109;7;46;784;7;0;830;7;344;486;7;205;139;493;11;333;493;497;86;58;189;7;6666;6636;4;0;0;26;6363;277;26;5836;804;26;6346;294;26;461;6179;26;0;6640;26;4844;1796;26;3081;1763;1822;227;4617;1822;2771;784;866;2219;26
4313003;Nova Bréscia;506;506;0;0;0;0;498;8;0;498;8;0;506;0;0;88;418;0;0;506;0;373;133;0;168;205;133;39;334;133;183;41;75;207;0;156;156;0;0;0;0;145;11;0;145;11;0;149;7;0;16;140;0;0;156;0;82;74;0;36;46;74;4;78;74;60;13;23;60;0;1181;1181;0;0;0;0;1158;23;0;1158;23;0;1181;0;0;197;984;0;0;1181;0;864;317;0;397;467;317;97;767;317;405;101;183;492;0
4313086;Nova Pádua;287;284;3;0;0;0;280;7;0;236;51;0;287;0;0;0;287;0;3;284;0;276;11;0;93;183;11;67;209;11;95;62;43;87;0;151;139;8;0;0;4;133;14;4;102;45;4;140;7;4;1;146;4;1;146;4;114;33;4;29;85;37;32;82;37;82;23;16;26;4;748;743;5;0;0;0;731;17;0;618;130;0;748;0;0;0;748;0;10;738;0;723;25;0;242;481;25;164;559;25;252;161;107;228;0
4313300;Nova Prata;8418;8299;82;24;0;13;8234;171;13;7961;444;13;8312;93;13;1258;7147;13;144;8261;13;7631;774;13;1897;5734;787;1237;6394;787;992;920;1391;5102;13;1995;1903;64;9;0;19;1862;114;19;1810;166;19;1900;76;19;182;1794;19;26;1950;19;1292;684;19;315;977;703;164;1128;703;571;252;319;834;19;21478;21130;232;78;0;38;20989;451;38;20237;1203;38;21201;239;38;3239;18201;38;355;21085;38;19343;2097;38;5068;14275;2135;2837;16506;2135;2601;2379;3688;12772;38
4313359;Nova Roma do Sul;667;667;0;0;0;0;641;26;0;635;32;0;664;3;0;45;622;0;0;667;0;626;41;0;328;298;41;371;255;41;371;107;30;159;0;269;269;0;0;0;0;229;40;0;231;38;0;256;13;0;10;259;0;0;269;0;176;93;0;69;107;93;95;81;93;195;24;15;35;0;1691;1691;0;0;0;0;1620;71;0;1604;87;0;1682;9;0;93;1598;0;0;1691;0;1585;106;0;830;755;106;911;674;106;974;269;74;374;0
4314001;Paraí;1683;1668;15;0;0;0;1635;48;0;1604;79;0;1675;8;0;180;1503;0;130;1553;0;1397;286;0;589;808;286;302;1095;286;306;330;370;677;0;735;731;4;0;0;0;668;67;0;658;77;0;704;31;0;52;683;0;44;691;0;380;355;0;161;219;355;77;303;355;259;110;125;241;0;4453;4416;37;0;0;0;4333;120;0;4257;196;0;4433;20;0;497;3956;0;350;4103;0;3697;756;0;1661;2036;756;747;2950;756;816;905;992;1740;0
