hora_modelo,hora_alvo,observado_em,observado_cm,previsto_cm,erro_cm,erro_abs_cm,nivel_modelo_cm,nivel_rio_agora_cm,modelo,horizonte
2026-08-21T23:00:00,2026-08-22T03:00:00,2026-08-22T03:00:00,380,384,4.0,4.0,392,391,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T00:00:00,2026-08-22T04:00:00,2026-08-22T04:00:00,379,378,-1.0,1.0,390,384,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T01:00:00,2026-08-22T05:00:00,2026-08-22T05:00:00,378,377,-1.0,1.0,387,381,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T02:00:00,2026-08-22T06:00:00,2026-08-22T06:00:00,377,375,-2.0,2.0,383,381,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T03:00:00,2026-08-22T07:00:00,2026-08-22T07:00:00,376,378,2.0,2.0,380,378,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T04:00:00,2026-08-22T08:00:00,2026-08-22T08:00:00,374,378,4.0,4.0,379,378,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T05:00:00,2026-08-22T09:00:00,2026-08-22T09:00:00,370,376,6.0,6.0,378,377,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T06:00:00,2026-08-22T10:00:00,2026-08-22T10:00:00,350,376,26.0,26.0,377,375,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T07:00:00,2026-08-22T11:00:00,2026-08-22T11:00:00,317,374,57.0,57.0,376,375,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T08:00:00,2026-08-22T12:00:00,2026-08-22T12:00:00,289,355,66.0,66.0,374,357,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T09:00:00,2026-08-22T13:00:00,2026-08-22T13:00:00,271,269,-2.0,2.0,370,357,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T10:00:00,2026-08-22T14:00:00,2026-08-22T14:00:00,262,254,-8.0,8.0,350,296,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T11:00:00,2026-08-22T15:00:00,2026-08-22T15:00:00,259,270,11.0,11.0,317,296,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T12:00:00,2026-08-22T16:00:00,2026-08-22T16:00:00,263,274,11.0,11.0,289,264,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T13:00:00,2026-08-22T17:00:00,2026-08-22T17:00:00,275,277,2.0,2.0,271,264,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T14:00:00,2026-08-22T18:00:00,2026-08-22T18:00:00,293,288,-5.0,5.0,262,259,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T15:00:00,2026-08-22T19:00:00,2026-08-22T19:00:00,319,303,-16.0,16.0,259,261,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T16:00:00,2026-08-22T20:00:00,2026-08-22T20:00:00,372,318,-54.0,54.0,263,288,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T17:00:00,2026-08-22T21:00:00,2026-08-22T21:00:00,404,333,-71.0,71.0,275,288,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T18:00:00,2026-08-22T22:00:00,2026-08-22T22:00:00,412,420,8.0,8.0,293,359,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T19:00:00,2026-08-22T23:00:00,2026-08-22T23:00:00,413,434,21.0,21.0,319,359,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T20:00:00,2026-08-23T00:00:00,2026-08-23T00:00:00,412,416,4.0,4.0,372,399,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T21:00:00,2026-08-23T01:00:00,2026-08-23T01:00:00,408,403,-5.0,5.0,404,411,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-22T22:00:00,2026-08-23T02:00:00,2026-08-23T02:00:00,402,401,-1.0,1.0,412,413,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T00:00:00,2026-08-23T04:00:00,2026-08-23T04:00:00,387,395,8.0,8.0,412,396,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T02:00:00,2026-08-23T06:00:00,2026-08-23T06:00:00,373,374,1.0,1.0,402,396,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T03:00:00,2026-08-23T07:00:00,2026-08-23T07:00:00,367,370,3.0,3.0,395,381,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T04:00:00,2026-08-23T08:00:00,2026-08-23T08:00:00,363,368,5.0,5.0,387,381,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T05:00:00,2026-08-23T09:00:00,2026-08-23T09:00:00,349,364,15.0,15.0,379,375,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T06:00:00,2026-08-23T10:00:00,2026-08-23T10:00:00,320,361,41.0,41.0,373,369,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T07:00:00,2026-08-23T11:00:00,2026-08-23T11:00:00,288,358,70.0,70.0,367,355,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T08:00:00,2026-08-23T12:00:00,2026-08-23T12:00:00,263,281,18.0,18.0,363,355,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T09:00:00,2026-08-23T13:00:00,2026-08-23T13:00:00,248,240,-8.0,8.0,349,295,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T10:00:00,2026-08-23T14:00:00,2026-08-23T14:00:00,239,248,9.0,9.0,320,295,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T11:00:00,2026-08-23T15:00:00,2026-08-23T15:00:00,235,254,19.0,19.0,288,268,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T12:00:00,2026-08-23T16:00:00,2026-08-23T16:00:00,236,256,20.0,20.0,263,241,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T13:00:00,2026-08-23T17:00:00,2026-08-23T17:00:00,243,256,13.0,13.0,248,235,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-23T14:00:00,2026-08-23T18:00:00,2026-08-23T18:00:00,257,262,5.0,5.0,239,235,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
