constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
1.0,1.0,0.280061684,85,0.01,15.0,0.0,0.4054032695,0.6267079278,0.85,0,2.541,ok,60.0,45.0
1.0,1.0,0.2858381568,86,0.02,15.0,0.0,0.409524252,0.6184304764,0.85,0,2.304,ok,60.0,45.0
1.0,1.0,0.2775229006,87,0.01,15.0,0.0,0.4024638521,0.6247047571,0.9,0,2.528,ok,60.0,45.0
1.0,1.0,0.2787358078,88,0.02,15.0,0.0,0.4016206348,0.614424135,0.9,0,2.154,ok,60.0,45.0
1.0,1.0,0.4569507267,89,0.01,15.0,0.0,0.5666286805,0.5483897691,0.85,0,2.602,ok,30.0,60.0
1.0,1.0,0.4680078556,90,0.02,15.0,0.0,0.5760303192,0.5401123177,0.85,0,2.255,ok,30.0,60.0
1.0,1.0,0.4606894047,91,0.01,15.0,0.0,0.5699667243,0.5463865984,0.9,0,2.28,ok,30.0,60.0
1.0,1.0,0.4734185958,92,0.02,15.0,0.0,0.5806397911,0.5361059764,0.9,0,2.57,ok,30.0,60.0
1.0,1.0,-0.9015938487,93,0.01,15.0,91.0,0.1517375251,0.7166568687,0.85,0,2.244,ok,60.0,60.0
1.0,1.0,-0.8898998922,94,0.02,15.0,91.0,0.1625375449,0.7121871856,0.85,0,2.487,ok,60.0,60.0
1.0,1.0,-0.9040061281,95,0.01,15.0,91.0,0.1488402204,0.7142317428,0.9,0,4.587,ok,60.0,60.0
1.0,1.0,-0.8967492335,96,0.02,15.0,91.0,0.1547181533,0.7073369337,0.9,0,3.213,ok,60.0,60.0
0.5,1.0,-0.205755352,97,0.01,20.0,0.0,-0.2043256425,0.0071485479,0.85,0,4.049,ok,30.0,20.0
0.5,1.0,-0.2559987428,98,0.02,20.0,0.0,-0.2557729622,0.0011289035,0.85,0,3.644,ok,30.0,20.0
0.5,1.0,-0.2143182918,99,0.01,20.0,0.0,-0.2132892163,0.0051453773,0.9,0,5.521,ok,30.0,20.0
0.5,1.0,-0.2792912299,100,0.02,20.0,0.0,-0.2782641809,0.0051352448,0.9,0,3.089,ok,30.0,20.0
