MODELO;HORIZONTE_H;EVENTO;CONJUNTO;N;PERS_EVENTO;MAE_EVENTO;NASH_EVENTO;CORR_EVENTO;RMSE_EVENTO;MAX_ABS_EVENTO;AMPLITUDE_OBSERVADA;RISE_POINTS;FALL_POINTS;SHAPE_OBSERVADA;BIAS_EVENTO;PLATEAU_POINTS_OBS;TARGET_MISSING_SAME_EVENT
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;21;Validação;113;0.8593354767593262;27.543351162745804;0.9843950634303034;0.9921737019314498;44.17968698217907;161.05466982081396;1093.0;24;85;subida_e_descida;-1.1848858015449057;3;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;22;Treino;73;-0.20549831661952878;19.963202896347052;0.8844117832184374;0.9513897033876035;32.29505723262159;130.22112428887533;325.0;8;63;subida_e_descida;9.51798297868727;1;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;23;Validação;58;0.5502437517777826;29.67915491041033;0.7896852843160516;0.9194319254538972;49.64187034595368;177.31905247414227;358.0;12;45;subida_e_descida;3.3426978437287858;0;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;24;Teste;203;0.86958652002767;28.6127387396396;0.9948717248866612;0.9974744461021838;38.22114371022451;117.0127165045269;1816.0;83;116;subida_e_descida;4.878256609842015;3;8
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;30;Treino;58;-0.027188382104608833;37.47025025701417;0.6914583565578297;0.8806152111016167;47.51421547879391;137.0655891768422;259.0;22;34;subida_e_descida;12.476961752198267;1;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;31;Teste;116;0.8906518153135643;22.692105863483327;0.9891569798665343;0.9945980267901683;34.89475437090095;133.4222397968714;1046.0;23;92;subida_e_descida;-0.43987461096988695;0;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;34;Teste;77;0.2640529747351271;35.69567479616031;0.8472972140730151;0.9357796333333058;51.53912412695692;166.0554779742489;444.0;22;51;subida_e_descida;6.49558266857864;3;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;35;Teste;40;0.6699428058890917;101.61825503420519;0.8547639045058792;0.9582474937892804;159.04414092411494;437.40079657712636;1637.0;19;20;subida_e_descida;-39.18314325441992;0;6
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;37;Teste;67;0.8477425706988992;35.51534907987598;0.978993029883531;0.9904779087282248;49.86096788172079;148.3406077275863;1091.0;36;30;subida_e_descida;-9.161449823816962;0;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;4;Treino;69;0.7923756599045009;20.489838180497447;0.9543912506615466;0.9903541441550404;29.849023235682292;84.643208407663;428.0;19;49;subida_e_descida;17.886826648694605;0;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;5;Treino;81;0.7781368475270294;26.827976098093433;0.9701080231711434;0.9901351136131219;39.1131635647661;123.67349538298924;687.0;30;49;subida_e_descida;18.357769499364636;1;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;6;Treino;51;0.9470782860196444;17.720992804792857;0.9764467676896703;0.9941303986893038;23.91833692315673;74.71033209148118;533.0;13;37;subida_e_descida;16.350204641002954;0;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;7;Treino;46;0.7261990143800086;21.766407111813166;0.8177963714679445;0.9688007868499569;28.016458584620942;92.01421354545948;229.0;10;35;subida_e_descida;20.218925836677577;0;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;11;Treino;69;0.8358019076587775;13.465561820678051;0.9807055806045166;0.9936331598652223;15.204415682260118;38.10422581964178;358.0;21;45;subida_e_descida;8.647857171019748;2;4
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;12;Treino;174;0.873390542415526;28.622013147890954;0.9883332290161407;0.9941764699985001;51.953574744316725;252.04637579171413;1725.0;39;131;subida_e_descida;-3.4972658549267006;3;14
008_MUC_H04_NIVEIS_DIFERENCAS_NH56_S08;4;13;Treino;60;0.6591963352090047;18.580110660108176;0.909903452050732;0.9808061072965617;21.968433483308008;75.22611448927705;234.0;24;34;subida_e_descida;16.088763661779794;1;4
