MODELO;HORIZONTE_H;EVENTO;CONJUNTO;N;PERS_EVENTO;MAE_EVENTO;NASH_EVENTO;CORR_EVENTO;RMSE_EVENTO;MAX_ABS_EVENTO;AMPLITUDE_OBSERVADA;RISE_POINTS;FALL_POINTS;SHAPE_OBSERVADA
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;11;Treino;108;0.9679418917995122;7.843286233635212;0.9968943056878316;0.9989988764577401;10.055941492491156;40.10491684790662;750.0;36;68;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;12;Treino;175;0.9535529676752093;11.609299904766301;0.9987138747352602;0.9994818513604161;16.505160943066358;76.0410502671981;1696.0;38;133;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;13;Treino;60;0.7933981103227152;7.713665282304911;0.9858634158667579;0.9971859043282718;8.918037756775352;25.49614103185445;285.0;28;30;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;18;Validacao;145;0.8199905613601226;8.47004211434609;0.9965948627757101;0.9984072661108284;15.59774292216725;125.23969228910642;1134.0;59;84;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;21;Validacao;113;0.9697762452133376;6.391632643520379;0.9991402745067518;0.9996529728895576;10.416721849388855;57.28218841687749;1093.0;24;85;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;22;Treino;95;0.9455996664669628;13.848214272136154;0.9938063037155875;0.9977091085910946;23.45830372995438;168.86338389031312;1455.0;33;60;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;23;Validacao;58;0.9331250661969684;7.773439713659976;0.9912787031045404;0.9957617630374179;10.22800067176583;34.64473011372479;358.0;12;41;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;24;Teste;199;0.9267218881686041;11.144468185121426;0.9992469535295505;0.9996676243253962;14.618580955824816;60.52141115126392;1757.0;82;113;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;30;Treino;58;0.6299116512327658;11.800616772502492;0.9662156524505717;0.9832220047616272;15.936834710566385;43.36179001226196;331.0;25;31;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;31;Teste;116;0.9764834296640267;6.604011929637918;0.9994001517515261;0.9997985499793309;8.209349691451449;27.608520750790035;1041.0;24;91;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;34;Teste;77;0.8132325607613708;7.689039996770242;0.9894281229505489;0.9948698275706941;13.980896455327875;68.7025711755374;528.0;24;49;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;35;Teste;40;0.9627808533436087;16.805461278285623;0.9965311214235403;0.9983435856664695;27.296236261475656;111.06625981961633;1603.0;19;20;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;37;Teste;69;0.9606259578110883;8.861672170136979;0.9987092085008766;0.9995236175687962;12.87500908317751;39.60856645940862;1091.0;36;32;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;4;Treino;69;0.8554700011318216;9.339296953544011;0.9915929176870707;0.9966058867481784;12.95268691802258;38.715504220190496;510.0;23;45;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;5;Treino;81;0.7356249820297319;14.647230190078854;0.99048091747362;0.9960540261920244;22.306937895363294;90.32415679334986;826.0;34;45;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;6;Treino;51;0.8969436601994092;13.263322167511818;0.9887357821627307;0.9945434337980773;17.12324123217933;46.956780926701185;597.0;17;33;subida_e_descida
005_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH72_M06_S05;2;7;Treino;46;0.7113949074075543;11.369824355433808;0.9498745485336197;0.9786349457805864;15.737641552479662;54.9069300468185;306.0;14;31;subida_e_descida
