x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
834,64,135,289,-7,-10,28,67,45.6,1027,10,49,318,3,-2,834,46,54,880,888,1,2
840,14,19,43,9,6,12,-12,-1,1006,-23,-5,32,-31,-50,840,-25,-45,815,795,1,21
841,10,24,77,-4,-14,-8,3,-1,1029,20,35,89,11,-5,841,27,38,868,879,1,6
845,-15,-30,-82,0,12,6,0,10,950,-26,-56,-123,-3,-5,845,-37,-50,808,795,1,3
851,-27,-41,-62,-13,-15,-11,-2,-7,962,-14,-59,-113,11,37,851,-38,-50,813,801,1,6
852,-18,-42,-92,6,9,-2,13,4,1036,-39,-72,-119,-19,8,852,-66,-101,786,751,1,4
856,-12,-25,-32,1,0,-19,-10,-18,975,-21,-37,-82,-21,-112,856,-34,-69,822,787,1,2
856,15,25,63,5,1,-14,2,4,1042,13,33,68,22,3,856,20,24,876,880,1,6
858,-8,-16,-28,0,-3,-6,-11,-18,1020,6,-3,-29,-14,-17,858,3,15,861,873,1,6
858,0,-8,-21,8,8,7,-1,-15,1024,4,10,-16,-9,-6,858,8,23,866,881,1,6
860,-15,-42,-88,12,10,5,-4,9,976,-30,-38,-123,-3,-12,860,-37,-61,823,799,1,3
861,3,3,-13,3,11,8,0,-9,1032,8,12,2,6,-32,861,12,33,873,894,1,6
862.6145,110.6145,210.6145,312.6145,10.6145,58.6145,79.6145,97.6145,104.6145,1216,101,293,553,97,102,862.6145,194.3855,282.3855,1057,1145,1,3
866,-8,-13,-22,-3,-1,-13,-16,-22,1014,-9,-16,-43,-24,-33,866,-8,0,858,866,1,6
868,12,27,51,-3,2,-12,-6,9,1044,2,15,60,-6,-1,868,11,15,879,883,1,6
870,-24,-51,-90,3,-1,-15,18,1,1075,-33,-59,-95,12,51,870,-48,-105,822,765,1,4
874,-5,-12,-9,2,-3,-8,-17,-29,1023,-7,-17,-37,-17,-22,874,-16,-13,858,861,1,6
875,-27,-52,-93,-2,-6,-6,-10.3824,-4,1006,-8,-28,-114,18,-3,875,-30,-67,845,808,1,3
