x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
535,-7,-12,-27,-2,0,0,-7,-2,627,-5,-12,-33,30,4,535,-13.85265967,-23.24086605,521.1473403,511.759134,2,5
536,-2,-5,-14,1,3,2,2,4,657,-1,-5,-17,5,3,536,-3.385440605,-5.10343147,532.6145594,530.8965685,2,13
536,-2,4,119,-8,-38,-78,-15,10,625,-12,-24,6,-8,-13,536,-18.84711989,10.80740526,517.1528801,546.8074053,2,18
538,-3,-8,-16,2,1,1,2,2,658,-4,-7,-20,1,-2,538,-4.861309963,-9.339142955,533.13869,528.660857,2,13
538,6,42,197,-30,-73,-68,8,15,637,-12,-17,97,-3,-11,538,-17.31840434,9.043135852,520.6815957,547.0431359,2,18
540,-14,-22,-34,-6,-7,-9,-5,-26,605,-35,-87,-113,-17,-32,540,-52.63104699,-101.7697318,487.368953,438.2302682,2,18
541,-5,-9,-17,-1,-1,0,0,0,662,-3,-8,-21,3,-2,541,-7.087969019,-12.04741191,533.912031,528.9525881,2,13
541,7,15,26,-1,1,3,3,6,664,12,23,46,12,13,541,17.02928217,36.69372014,558.0292822,577.6937201,2,5
542,-5,-12,-27,2,3,-2,4,0,632,-7,-13,-39,3,5,542,-11.29061049,-24.01326167,530.7093895,517.9867383,2,5
544,5,15,40,-5,-6,-2,20,-2,648,-10,-15,15,9,-15,544,-5.998630182,-28.50475128,538.0013698,515.4952487,2,1
545,9,15,16,3,8,12,14,14,683,13,21,29,18,18,545,19.36475427,68.56045653,564.3647543,613.5604565,2,13
546,-4,-8,-17,0,0,1,1,0,665,-5,-9,-22,1,8,546,-7.271071669,-15.10196608,538.7289283,530.8980339,2,13
547,-7,-15,-25,1,0,-14,10,-1,639,-6,-12,-44,1,-2,547,-10.59314133,-21.44332376,536.4068587,525.5566762,2,5
550,9,16,30,2,1,4,5,9,676,12,24,51,8,13,550,20.03656347,37.36224372,570.0365635,587.3622437,2,5
554,-9,-26,-42,8,2,-4,-1,-1,681,21,25,-25,25,28,554,10.7173092,32.9084865,564.7173092,586.9084865,2,5
554,-8,-15,-11,-1,-5,-19,3,-2,645,-6,-15,-46,0,2,554,-12.63143345,-23.70490232,541.3685666,530.2950977,2,5
554,0,-9,-37,9,17,5,7,5,691,10,31,-5,22,14,554,16.00187401,27.12130785,570.001874,581.1213078,2,5
558,-5,-10,-19,0,-1,0,0,-2,678,-5,-9,-24,-2,1,558,-7.710717598,-15.57767774,550.2892824,542.4223223,2,13
559,9,18,33,0,2,3,1,8,687,11,23,54,8,13,559,17.99407439,32.75392769,576.9940744,591.7539277,2,5
562,-7,-12,-25,-2,-2,4,-1,-3,692,-8,-17,-35,-21,-9,562,-12.81928864,-29.25404172,549.1807114,532.7459583,2,18
562,-7,-10,8,-4,-14,-7,-2,0,651,-9,-20,-30,-4,-1,562,-14.37165095,-26.90385203,547.628349,535.096148,2,5
562,2,9,29,-5,-8,-7,4,3,633,-26,-45,-22,-24,-34,562,-27.03414367,-58.84575575,534.9658563,503.1542443,2,1
563,-17,-28,-38,-6,-12,-11,-11,-11,660,4,-1,-53,12,9,563,-14.24600286,-4.743851471,548.7539971,558.2561485,2,5
563,-5,-9,-19,-1,0,0,-1,-1,683,-4,-9,-24,0,-8,563,-8.21455741,-14.16731433,554.7854426,548.8326857,2,13
565,11,11,-15,11,20,22,17,17,683,-8,2,22,1,-4,565,3.923337076,-7.454196842,568.9233371,557.5458032,2,5
568,-4,-9,-19,1,1,2,1,5,687,-5,-9,-26,-3,-15,568,-7.331017927,-15.07389947,560.6689821,552.9261005,2,13
569,-5,-10,-29,0,3,6,1,-2,700,-9,-18,-35,-4,-4,569,-12.9943502,-31.97947709,556.0056498,537.0205229,2,18
569,-3,4,15,-10,-14,6,2,5,660,-11,-23,0,-2,-5,569,-15.52750748,-35.94124434,553.4724925,533.0587557,2,5
569,10,19,35,1,1,2,5,7,699,12,23,58,6,13,569,20.11948595,32.18339845,589.1194859,601.1833985,2,5
571,-4,-11,-10,3,-2,-3,-1,-2,688,11,18,-1,11,12,571,9.042459322,33.52418148,580.0424593,604.5241815,2,5
571,15,26,41,4,6,14,17,19,737,30,54,81,34,35,571,43.84011502,137.1218474,614.840115,708.1218474,2,13
572,-5,-10,-21,0,0,0,-2,12,692,-4,-10,-26,-3,-27,572,-8.800786695,-17.13569635,563.1992133,554.8643037,2,13
572,7,18,9,-4,7,24,13,13,671,-12,-20,15,-4,-4,572,-10.73005704,-30.43579435,561.269943,541.5642056,2,5
572,43,71,105,15,24,32,48,47,785,49,110,177,49,50,572,98.63629215,177.0789374,670.6362921,749.0789374,2,13
573,2,-2,-11,6,9,-1,4,3,708,20,31,18,24,22,573,21.1162187,51.05483324,594.1162187,624.0548332,2,5
574,-5,-13,-35,3,6,4,-17,-3,709,-9,-14,-40,-7,55,574,-12.4863776,-26.41214706,561.5136224,547.5878529,2,18
575,-7,-9,-7,-5,-10,-9,-6,-6,677,7,0,-11,10,12,575,-3.742167269,15.60827579,571.2578327,590.6082758,2,5
577,-5,-10,-21,0,1,0,-2,8,696,-6,-11,-28,7,-19,577,-9.999805087,-19.6211399,567.0001949,557.3788601,2,13
579,-8,-19,-39,3,3,-3,-6,-7,718,-5,-9,-44,-3,58,579,-9.909493464,-23.91139246,569.0905065,555.0886075,2,18
579,10,20,38,0,1,3,6,6,705,6,18,53,-2,7,579,15.09129765,22.57733459,594.0912977,601.5773346,2,5
580,-11,-16,-27,-6,-6,-5,-5,-7,656,-5,-40,-63,3,-6,580,-26.69430995,-39.92912957,553.30569,540.0708704,2,5
580,-2,-4,-8,0,1,1,0,0,688,-1,-6,-14,1,1,580,-4.481740148,-9.134083957,575.5182599,570.865916,2,5
581,-1,1,-3,-3,1,2,1,1,690,1,2,-6,3,4,581,-1.165181274,-1.782285167,579.8348187,579.2177148,2,5
582,-5,-11,-21,1,0,-1,-1,1,702,-5,-11,-28,21,4,582,-9.360550097,-17.69182394,572.6394499,564.3081761,2,13
582,-2,-5,-9,1,-1,-1,1,1,689,-5,-7,-17,-4,-1,582,-5.48546332,-14.49400391,576.5145367,567.5059961,2,5
582,-2,1,2,-5,-1,0,1,0,670,-7,-20,-19,-6,-3,582,-13.14946951,-20.10789984,568.8505305,561.8921002,2,5
582,2,0,-5,4,4,3,3,6,689,1,0,-11,5,8,582,1.250546805,1.123825837,583.2505468,583.1238258,2,5
582,9,11,0,7,13,11,11,12,728,20,40,51,22,24,582,30.16008942,64.5962078,612.1600894,646.5962078,2,5
584,-3,-4,-8,-2,0,-1,-1,1,694,-2,-6,-12,3,5,584,-5.753253841,-13.48636071,578.2467462,570.5136393,2,5
584,3,2,2,4,1,5,4,6,677,-13,-12,-17,-11,-10,584,-7.828116437,-19.13558311,576.1718836,564.8644169,2,5
587,-11,-22,-36,0,-2,-5,-7,-9,723,-4,-12,-49,-3,14,587,-12.30873392,-25.63457229,574.6912661,561.3654277,2,18
587,-6,-11,-20,-1,-1,-1,3,-7,707,-6,-11,-28,5,17,587,-10.00802866,-20.95515017,576.9919713,566.0448498,2,13
587,-1,-4,-7,2,0,0,3,2,696,-4,-6,-13,0,-1,587,-3.89531398,-10.64811204,583.104686,576.351888,2,5
587,8,18,37,-2,-2,-1,3,4,713,8,14,49,4,8,587,13.05635794,22.34412076,600.0563579,609.3441208,2,5
587,66,106.0404,154,25.9596,38.0404,48,67,62,859,73,148,309,75,71,587,153.5577905,174.1359582,740.5577905,761.1359582,2,5
588,-3,-4,-7,-2,-1,-1,-1,1,700,-2,-6,-10,1,3,588,-5.468302749,-12.71294035,582.5316973,575.2870597,2,5
591,-5,-10,-22,0,1,2,0,1,661,-35,-45,-63,-29,-28,591,-34.40880662,-74.93689301,556.5911934,516.063107,2,5
591,-1,-3,-6,1,0,2,2,3,702,-4,-4,-10,-1,-2,591,-3.534655809,-12.14022223,587.4653442,578.8597778,2,5
591,58,75,55,41,67,60,-18,45,879,99,173,242,38,123,591,158.9604443,221.6653313,749.9604443,812.6653313,2,18
592,-2,-3,-8,-1,0,0,2,1,706,0,-3,-8,7,6,592,-2.941960128,-6.306244564,589.0580399,585.6937554,2,5
593,-5,-10,-19,0,-1,-2,12,-12,713,-5,-11,-27,1,47,593,-8.426285233,-17.49826535,584.5737148,575.5017346,2,13
594,-1,-3,-8,1,2,3,2,3,706,-3,-4,-12,-1,-1,594,-3.559000251,-5.942257542,590.4409997,588.0577425,2,5
594,7,15,35,-1,-3,-2,1,-1,719,6,14,43,2,4,594,11.70084971,22.70429056,605.7008497,616.7042906,2,5
595,-2,-5,-11,1,0,0,2,1,709,-1,-3,-11,3,1,595,-2.648455566,-5.914586115,592.3515444,589.0854139,2,5
596,-5,-11,-24,1,1,3,3,-2,696,-10,-17,-37,-2,10,596,-13.79036181,-28.81257365,582.2096382,567.1874263,2,5
596,14,23,21,5,12,21,12,15,743,15,35,73,19,17,596,27.43513682,57.92216728,623.4351368,653.9221673,2,5
