dataset,label,horizon_h,model,backend,fold_count,test_event_count,median_mae_cm,mean_mae_cm,worst_fold_mae_cm,median_rmse_cm,median_nse,median_bias_cm,median_peak_error_cm,worst_peak_error_cm,median_peak_lag_h,worst_peak_lag_h,completed_folds,event_rows,rank_by_mae_rmse,family
stz_4h,Santa Tereza · 4 h,4,MLP,scikit-learn,13,13,24.287569658322766,24.37371754774226,38.30949299676077,29.597359719758,0.881779928077628,1.805480897102667,10.408859252929688,83.67234802246094,1.0,22.0,13,13,13,neural tabular
stz_4h,Santa Tereza · 4 h,4,N-BEATS experimental,pytorch-cpu,13,13,25.361440811952345,25.5152998519098,43.26239594775787,31.90981163444484,0.9055882299569168,1.8069064214301849,31.77587380118655,82.1364677333953,2.0,12.0,13,13,14,temporal neural
stz_4h,Santa Tereza · 4 h,4,TCN,pytorch-cpu,13,13,27.75754089960048,27.549213478608365,49.68115466733418,35.25864641756857,0.8817354893925738,0.4271421706270912,14.503526933046942,81.49382071314176,1.0,20.0,13,13,15,temporal neural
stz_4h,Santa Tereza · 4 h,4,GRU,pytorch-cpu,13,13,29.499553283868977,29.26361737648536,56.08914522547495,36.572692697582205,0.8562870316925781,-0.3422501047907684,16.716463769043457,74.5598582748114,1.0,20.0,13,13,16,temporal neural
stz_4h,Santa Tereza · 4 h,4,LSTM,pytorch-cpu,13,13,29.700194992083407,31.627137921074866,54.295845606247,39.14432233837268,0.7917525978035953,-7.894861722611527,18.25778689564117,96.2393758307892,2.0,20.0,13,13,17,temporal neural
stz_4h,Santa Tereza · 4 h,4,PatchTST experimental,pytorch-cpu,13,13,31.7343742807071,32.64699741717246,69.32135009577928,35.96514049687089,0.7525377275099832,2.179996527126267,39.80572705567442,102.72142282822848,2.0,20.0,13,13,18,temporal neural
stz_4h,Santa Tereza · 4 h,4,TFT-lite experimental,pytorch-cpu,13,13,31.819390545250684,31.82586453626396,58.74350824159516,40.25739797209668,0.8517968638203375,-1.2508352275293275,10.116440396934308,109.56541143442256,3.0,22.0,13,13,19,temporal neural
stz_4h,Santa Tereza · 4 h,4,TSMixer experimental,pytorch-cpu,13,13,37.431932138682505,40.75877712421652,76.9213350643981,46.08232267405118,0.7189738633119711,-1.0931269092970746,42.51297165780784,117.15710563032373,3.0,19.0,13,13,20,temporal neural
stz_4h,Santa Tereza · 4 h,4,Seq2Seq · decoder 1 passo,pytorch-cpu,13,13,39.94770977487728,35.795094011156536,66.10551565849094,49.33195350136873,0.7658104520163043,-4.281586641033307,23.02308988985669,134.36168322111666,2.0,20.0,13,13,21,temporal neural
stz_4h,Santa Tereza · 4 h,4,NLinear experimental,pytorch-cpu,13,13,42.80187635521901,51.42453372114694,104.12729712707976,55.96375222071296,0.596088639864656,-11.527502123139849,59.57750337065704,147.73035527704337,2.0,21.0,13,13,22,temporal neural
stz_4h,Santa Tereza · 4 h,4,Persistência,baseline,13,13,45.86363636363637,51.63011688235797,120.75,60.69409137035274,0.5607208518384972,-7.5,0.0,200.0,4.0,7.0,13,13,23,baseline
stz_4h,Santa Tereza · 4 h,4,DLinear experimental,pytorch-cpu,13,13,54.39858917249011,72.37505180829999,159.03986281075777,75.0405958938796,0.2938940133955131,2.880971007460411,35.559222568510336,180.3270268398892,5.0,50.0,13,13,24,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,Elastic Net,scikit-learn,11,11,36.978414045061385,44.1080154851611,109.60333862304688,49.72121899185692,0.6869426038487888,-4.881106058756511,60.208740234375,209.64990234375,2.0,11.0,11,11,1,linear
stz_8h_v001,Santa Tereza · 8 h V001,8,Ridge,scikit-learn,11,11,41.13010951450893,45.832288456279365,102.83792572021484,53.29143682831669,0.6491714736282987,-2.9797258649553573,43.11422729492188,239.5511474609375,2.0,11.0,11,11,2,linear
stz_8h_v001,Santa Tereza · 8 h V001,8,Random Forest,scikit-learn,11,11,53.183871189852034,59.22305290959677,99.61483714968864,71.21679502808945,0.2995355389358654,-13.084383569576062,63.120488086713294,180.1514387318262,2.0,13.0,11,11,3,árvores
stz_8h_v001,Santa Tereza · 8 h V001,8,Extra Trees,scikit-learn,11,11,53.28470426065607,57.45800292112381,113.49205731202824,72.71769330345931,0.4241895103997543,-14.6989532816817,99.660780655841,149.93802267052843,4.0,106.0,11,11,4,árvores
stz_8h_v001,Santa Tereza · 8 h V001,8,XGBoost,xgboost,11,11,55.41773826197574,64.60158319815027,167.2954110281808,83.05264024733975,0.489899799951058,-16.80154009563167,68.89666748046875,173.30477905273438,4.0,17.0,11,11,5,boosting
stz_8h_v001,Santa Tereza · 8 h V001,8,HistGradientBoosting,scikit-learn,11,11,59.21971040856147,67.5881267665717,136.15275376379282,81.75272256382986,0.1115175577125112,-14.799223415723654,81.65977756891141,154.98911465723478,3.0,15.0,11,11,6,boosting
stz_8h_v001,Santa Tereza · 8 h V001,8,LightGBM,lightgbm,11,11,63.89918605783689,61.48219292454892,87.86174552966874,84.31388159278609,0.4550798938286738,-11.94059393181127,42.03461943717474,132.0139191284435,2.0,13.0,11,11,7,boosting
stz_8h_v001,Santa Tereza · 8 h V001,8,CatBoost,catboost,11,11,64.93399893754895,66.75663285236804,121.89046558997823,82.59157838972337,0.2470912244153683,-20.92277982926301,73.61991320141982,189.1379913025579,5.0,105.0,11,11,8,boosting
stz_8h_v001,Santa Tereza · 8 h V001,8,N-BEATS experimental,pytorch-cpu,11,11,74.51932997562562,81.95799284807653,183.103809485699,88.92837472181297,-0.0531839064842649,-19.36824677493141,100.26333319109426,229.04012378866173,2.0,58.0,11,11,9,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,MLP,scikit-learn,11,11,76.12980741613052,86.53210920999113,217.1309448242188,93.342821044159,0.0942635977088033,-25.94706242258956,61.2197265625,279.6683349609375,2.0,110.0,11,11,10,neural tabular
stz_8h_v001,Santa Tereza · 8 h V001,8,SVR,scikit-learn,11,11,82.6789965612638,91.69331414571262,214.68775271307155,122.2032892723182,-0.5301157521175641,-41.19852518793152,84.47401967651945,293.07418124542244,5.0,105.0,11,11,11,kernel
stz_8h_v001,Santa Tereza · 8 h V001,8,N-HiTS-lite experimental,pytorch-cpu,11,11,105.96789495709294,104.6294077043257,194.43200180143967,139.210111042714,-0.6646666917013031,10.082205559751095,143.59570015723534,697.1260844756976,4.0,74.0,11,11,12,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,CNN-1D temporal,pytorch-cpu,11,11,106.2184983676153,109.85090178828165,209.3008651253851,140.7298063132885,-1.6375195278913122,-65.92871856337587,95.31553447282285,263.4009630645337,5.0,104.0,11,11,13,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,TSMixer experimental,pytorch-cpu,11,11,108.51873990422924,125.91784399579124,227.8064615961124,141.56240286933908,-1.0588964005192136,-28.6490054299549,50.13116425727651,153.48769457414323,14.0,102.0,11,11,14,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,TCN,pytorch-cpu,11,11,118.53534017828188,125.42685398446478,241.3787160387193,144.20787573537945,-0.8955368544665465,-38.29418792639287,122.48259486605252,327.24271934964304,8.0,107.0,11,11,15,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,GRU,pytorch-cpu,11,11,123.33361275316147,124.410922140498,190.87971314873192,148.83830659233664,-1.2361290116236026,-62.200215563954906,101.82351135999808,349.4438787221052,5.0,63.0,11,11,16,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,TFT-lite experimental,pytorch-cpu,11,11,149.04442790025692,147.24889471788364,353.4128163547254,171.29577025452633,-2.3695642858824946,-28.526422437576528,97.57827844717008,253.94077554952813,8.0,103.0,11,11,17,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,PatchTST experimental,pytorch-cpu,11,11,150.86925906502117,194.7726416815653,409.7360361488626,185.7508846699516,-4.692275859804536,4.668407480189711,123.47623662122794,244.11799256064185,7.0,104.0,11,11,18,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,Transformer temporal,pytorch-cpu,11,11,152.28456455516755,205.79452529645752,411.51983236965714,184.73403563443816,-5.0271392054393695,3.052390121450823,174.38666732129832,239.7075445621756,11.0,78.0,11,11,19,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,LSTM,pytorch-cpu,11,11,159.51635127425573,159.99002097924082,224.11697530894605,197.2243953760458,-3.690047042782157,-109.9241401675794,104.4360203663748,307.70259558177,8.0,103.0,11,11,20,temporal neural
stz_8h_v001,Santa Tereza · 8 h V001,8,DLinear experimental,pytorch-cpu,11,11,163.81181007004693,187.2931087518514,405.6575534292713,222.67009642845548,-3.797524932287282,13.6703840897248,151.92902926765476,823.6284228452989,5.0,51.0,11,11,21,temporal neural
