dataset,label,horizon_h,protocol,lookback_h,fold_id,validation_event,test_event,train_event_count,train_rows,validation_rows,test_rows,train_end,test_start,seed,common_source_contract,model,backend,fit_seconds,n,mae_cm,rmse_cm,bias_cm,e95_cm,nse,r2,mape_pct,event_count,median_event_mae_cm,worst_event_mae_cm,median_peak_abs_error_cm,worst_peak_abs_error_cm,median_peak_lag_h,median_peak_lag_abs_h,worst_peak_lag_abs_h,warnings,n_train,epochs_run,best_epoch,best_validation_loss_scaled,n_validation,parameter_count,history_tail
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,CatBoost,catboost,3.494556099991314,214,2.066505772074405,2.766690606562167,1.400325041946119,6.03563956734288,0.9974115643416706,0.9974115643416706,0.44116760768747243,1,2.066505772074405,2.066505772074405,10.428671838780247,10.428671838780247,0.0,0.0,0.0,[],883.0,,,,,,
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,CNN-1D temporal,pytorch-cpu,0.6199920999351889,214,4.765322096002399,6.814095837507822,1.1096413816991604,14.390274866552604,0.9842988067910434,0.9842988067910434,0.9901239357144398,1,4.765322096002399,4.765322096002399,25.260194916456726,25.260194916456726,0.0,0.0,0.0,,883.0,18.0,18.0,0.11827642470598221,295.0,4609.0,"[{'epoch': 14, 'train_loss': 0.2357180118560791, 'validation_loss': 0.15230266749858856}, {'epoch': 15, 'train_loss': 0.23073531687259674, 'validation_loss': 0.1425188183784485}, {'epoch': 16, 'train_loss': 0.21560204029083252, 'validation_loss': 0.13240671157836914}, {'epoch': 17, 'train_loss': 0.19459585845470428, 'validation_loss': 0.12390090525150299}, {'epoch': 18, 'train_loss': 0.17259280383586884, 'validation_loss': 0.11827642470598221}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,LSTM,pytorch-cpu,0.15031040005851537,214,6.719541730492926,8.424378261645758,2.9770624329040234,17.566060065816856,0.9760010688119585,0.9760010688119585,1.4164211301613212,1,6.719541730492926,6.719541730492926,26.910263968933123,26.910263968933123,0.0,0.0,0.0,,883.0,18.0,18.0,0.28372716903686523,295.0,6305.0,"[{'epoch': 14, 'train_loss': 0.5962602496147156, 'validation_loss': 0.38306570053100586}, {'epoch': 15, 'train_loss': 0.5696777701377869, 'validation_loss': 0.3552732765674591}, {'epoch': 16, 'train_loss': 0.5443136096000671, 'validation_loss': 0.32935529947280884}, {'epoch': 17, 'train_loss': 0.5203055143356323, 'validation_loss': 0.3054640293121338}, {'epoch': 18, 'train_loss': 0.49779021739959717, 'validation_loss': 0.28372716903686523}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,GRU,pytorch-cpu,0.2655259999446571,214,6.9914029063295295,10.192478456893328,1.3291044378044239,24.011075561282233,0.9648701911044959,0.9648701911044959,1.4398635586541386,1,6.9914029063295295,6.9914029063295295,30.47756904696655,30.47756904696655,0.0,0.0,0.0,,883.0,18.0,18.0,0.14725328981876373,295.0,4737.0,"[{'epoch': 14, 'train_loss': 0.3579464554786682, 'validation_loss': 0.182683065533638}, {'epoch': 15, 'train_loss': 0.34373021125793457, 'validation_loss': 0.1707525998353958}, {'epoch': 16, 'train_loss': 0.33223873376846313, 'validation_loss': 0.16130851209163666}, {'epoch': 17, 'train_loss': 0.3228287398815155, 'validation_loss': 0.15367762744426727}, {'epoch': 18, 'train_loss': 0.3148978352546692, 'validation_loss': 0.14725328981876373}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,TCN,pytorch-cpu,0.07378370000515133,214,5.096289343190254,7.118633762178022,1.7255265371922448,16.40646494587596,0.9828639988378965,0.9828639988378965,1.0767896760691362,1,5.096289343190254,5.096289343190254,21.584730850281176,21.584730850281176,0.0,0.0,0.0,,883.0,18.0,17.0,0.11850406229496002,295.0,7713.0,"[{'epoch': 14, 'train_loss': 0.24357526004314423, 'validation_loss': 0.15856806933879852}, {'epoch': 15, 'train_loss': 0.21181143820285797, 'validation_loss': 0.13853240013122559}, {'epoch': 16, 'train_loss': 0.1802307516336441, 'validation_loss': 0.12420104444026947}, {'epoch': 17, 'train_loss': 0.15779291093349457, 'validation_loss': 0.11850406229496002}, {'epoch': 18, 'train_loss': 0.1462356597185135, 'validation_loss': 0.11908993124961853}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Seq2Seq · decoder 1 passo,pytorch-cpu,0.09164269990287721,214,7.095492637136199,9.054710166861524,2.9326885362771016,19.466129869502584,0.9722753999462049,0.9722753999462049,1.5121392247633083,1,7.095492637136199,7.095492637136199,23.249551369691744,23.249551369691744,0.0,0.0,0.0,,883.0,18.0,18.0,0.3722417652606964,295.0,10785.0,"[{'epoch': 14, 'train_loss': 0.6917163133621216, 'validation_loss': 0.48566868901252747}, {'epoch': 15, 'train_loss': 0.6671399474143982, 'validation_loss': 0.45628616213798523}, {'epoch': 16, 'train_loss': 0.6427488327026367, 'validation_loss': 0.42743080854415894}, {'epoch': 17, 'train_loss': 0.6186386346817017, 'validation_loss': 0.39932945370674133}, {'epoch': 18, 'train_loss': 0.5949450135231018, 'validation_loss': 0.3722417652606964}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,Transformer temporal,pytorch-cpu,0.13231240003369749,214,3.5383575136436383,5.161862130048734,0.35035594760864824,10.873323405860509,0.9909899130065284,0.9909899130065284,0.7405129541367348,1,3.5383575136436383,3.5383575136436383,13.305170687250666,13.305170687250666,0.0,0.0,0.0,,883.0,18.0,18.0,0.13798990845680237,295.0,9217.0,"[{'epoch': 14, 'train_loss': 0.4014109671115875, 'validation_loss': 0.19139838218688965}, {'epoch': 15, 'train_loss': 0.38853880763053894, 'validation_loss': 0.17970702052116394}, {'epoch': 16, 'train_loss': 0.37697967886924744, 'validation_loss': 0.16709041595458984}, {'epoch': 17, 'train_loss': 0.3643476068973541, 'validation_loss': 0.15296077728271484}, {'epoch': 18, 'train_loss': 0.34947606921195984, 'validation_loss': 0.13798990845680237}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,DLinear experimental,pytorch-cpu,0.009800500003620982,214,6.368596302427881,8.777577447400375,1.0589732066063264,19.059489776849308,0.973946533066215,0.973946533066215,1.3317462630471721,1,6.368596302427881,6.368596302427881,15.09711872666287,15.09711872666287,0.0,0.0,0.0,,883.0,18.0,18.0,0.1687646359205246,295.0,32.0,"[{'epoch': 14, 'train_loss': 0.29737603664398193, 'validation_loss': 0.20363231003284454}, {'epoch': 15, 'train_loss': 0.2877238988876343, 'validation_loss': 0.19418589770793915}, {'epoch': 16, 'train_loss': 0.2786131799221039, 'validation_loss': 0.1852383017539978}, {'epoch': 17, 'train_loss': 0.2700149714946747, 'validation_loss': 0.17677077651023865}, {'epoch': 18, 'train_loss': 0.26190072298049927, 'validation_loss': 0.1687646359205246}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,NLinear experimental,pytorch-cpu,0.007186900009401143,214,9.082153708712747,12.595160854231466,1.9855280808053986,28.75368078136954,0.9463556954450004,0.9463556954450004,1.892936857152526,1,9.082153708712747,9.082153708712747,24.51358623340252,24.51358623340252,0.0,0.0,0.0,,883.0,18.0,18.0,0.8647086024284363,295.0,61.0,"[{'epoch': 14, 'train_loss': 1.0006822347640991, 'validation_loss': 0.9111044406890869}, {'epoch': 15, 'train_loss': 0.9839613437652588, 'validation_loss': 0.8981895446777344}, {'epoch': 16, 'train_loss': 0.968657374382019, 'validation_loss': 0.8862005472183228}, {'epoch': 17, 'train_loss': 0.9546404480934143, 'validation_loss': 0.8750651478767395}, {'epoch': 18, 'train_loss': 0.9417772889137268, 'validation_loss': 0.8647086024284363}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,6_to_7,6,7,5,883,295,214,2023-09-25T22:00:00,2023-11-28T06:00:00,20260919,True,TSMixer experimental,pytorch-cpu,0.06351689994335175,214,15.20017592722756,17.52281517561047,11.508332951183794,29.192632667182153,0.8961697395803087,0.8961697395803087,3.354389514767422,1,15.20017592722756,15.20017592722756,27.132177403532523,27.132177403532523,0.0,0.0,0.0,,883.0,18.0,18.0,0.6242194175720215,295.0,1619.0,"[{'epoch': 14, 'train_loss': 0.7777454853057861, 'validation_loss': 0.7398078441619873}, {'epoch': 15, 'train_loss': 0.7602759003639221, 'validation_loss': 0.7086173295974731}, {'epoch': 16, 'train_loss': 0.7444463968276978, 'validation_loss': 0.6788531541824341}, {'epoch': 17, 'train_loss': 0.7301626801490784, 'validation_loss': 0.6506727933883667}, {'epoch': 18, 'train_loss': 0.7172923684120178, 'validation_loss': 0.6242194175720215}]"
