station_code,measurement_datetime,measurement_date,consistency_level,stage_cm,discharge_m3s,wetted_area_m2,width_m,mean_depth_m,mean_velocity_ms,source,source_route,downloaded_at,processed_at
86510000,1948-07-22 07:00:00,1948-07-22,2,250.0,493.0,503.9,166.05,3.03,0.979,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:51.645553112,2026-06-14 10:36:12.061599016
86510000,1949-04-13 07:00:00,1949-04-13,2,96.0,70.0,256.0,159.5,1.61,0.273,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:52.251015902,2026-06-14 10:36:12.061599016
86510000,1955-06-28 07:00:00,1955-06-28,2,178.0,225.0,395.4,165.2,2.39,0.568,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:55.794302940,2026-06-14 10:36:12.061599016
86510000,1955-07-18 07:00:00,1955-07-18,2,239.0,402.0,494.4,166.9,2.96,0.814,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:55.794302940,2026-06-14 10:36:12.061599016
86510000,1955-09-09 07:00:00,1955-09-09,2,270.0,505.0,561.0,170.8,3.28,0.9,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:55.794302940,2026-06-14 10:36:12.061599016
86510000,1955-09-18 07:00:00,1955-09-18,2,232.0,385.0,488.4,166.9,2.93,0.789,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:55.794302940,2026-06-14 10:36:12.061599016
86510000,1955-10-21 07:00:00,1955-10-21,2,205.0,305.0,434.2,165.8,2.62,0.702,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:55.794302940,2026-06-14 10:36:12.061599016
86510000,1955-10-27 07:00:00,1955-10-27,2,161.0,174.0,362.6,163.8,2.21,0.48,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:55.794302940,2026-06-14 10:36:12.061599016
86510000,1955-11-12 07:00:00,1955-11-12,2,134.0,118.0,324.0,163.8,1.98,0.363,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:55.794302940,2026-06-14 10:36:12.061599016
86510000,1955-12-08 07:00:00,1955-12-08,2,114.0,73.2,284.6,161.0,1.77,0.257,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:55.794302940,2026-06-14 10:36:12.061599016
86510000,1956-07-17 07:00:00,1956-07-17,2,181.0,166.0,375.4,163.5,2.3,0.441,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:56.223022938,2026-06-14 10:36:12.061599016
86510000,1956-08-10 07:00:00,1956-08-10,2,203.0,289.0,418.9,165.8,2.53,0.69,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:56.223022938,2026-06-14 10:36:12.061599016
86510000,1956-09-28 07:00:00,1956-09-28,2,276.0,451.0,538.2,169.3,3.18,0.838,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:56.223022938,2026-06-14 10:36:12.061599016
86510000,1956-09-29 07:00:00,1956-09-29,2,260.0,398.0,503.3,167.4,3.01,0.792,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:56.223022938,2026-06-14 10:36:12.061599016
86510000,1958-09-03 07:00:00,1958-09-03,2,220.0,297.0,440.3,165.1,2.67,0.674,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:57.284977913,2026-06-14 10:36:12.061599016
